count,area,fence,year
11,31415,inside,1948
4,31415,inside,1948
18,31415,inside,1948
23,31415,inside,1948
23,31415,inside,1948
41,31415,inside,1948
21,31415,inside,1948
31,31415,inside,1948
25,31415,inside,1948
24,31415,outside,1948
20,31415,outside,1948
24,31415,outside,1948
37,31415,outside,1948
33,31415,outside,1948
35,31415,outside,1948
36,31415,outside,1948
15,31415,outside,1948
20,31415,outside,1948
26,31415,outside,1948
29,31415,inside,1948
30,31415,inside,1948
30,31415,inside,1948
51,31415,inside,1948
21,31415,inside,1948
14,31415,inside,1948
24,31415,inside,1948
19,31415,inside,1948
33,31415,inside,1948
18,31415,inside,1948
6,31415,inside,1948
25,31415,outside,1948
31,31415,outside,1948
38,31415,outside,1948
16,31415,outside,1948
30,31415,outside,1948
10,31415,outside,1948
11,31415,outside,1948
29,31415,outside,1948
10,31415,outside,1948
25,31415,outside,1948
13,31415,outside,1948
19,31415,outside,1948
6,31415,outside,1948
34,31415,outside,1948
15,31415,outside,1948
16,31415,inside,1972
19,31415,inside,1972
18,31415,inside,1972
24,31415,inside,1972
17,31415,inside,1972
12,31415,inside,1972
38,31415,inside,1972
16,31415,inside,1972
32,31415,inside,1972
9,31415,inside,1972
15,31415,inside,1972
29,31415,inside,1972
24,31415,inside,1972
16,31415,inside,1972
13,31415,inside,1972
14,31415,inside,1972
13,31415,inside,1972
3,31415,inside,1972
7,31415,inside,1972
20,31415,inside,1972
36,31415,inside,1972
27,31415,inside,1972
9,31415,inside,1972
14,31415,inside,1972
13,31415,inside,1972
6,31415,inside,1972
3,31415,inside,1972
21,31415,outside,1972
29,31415,outside,1972
16,31415,outside,1972
22,31415,outside,1972
30,31415,outside,1972
23,31415,outside,1972
16,31415,outside,1972
10,31415,outside,1972
11,31415,outside,1972
14,31415,outside,1972
8,31415,outside,1972
21,31415,outside,1972
10,31415,outside,1972
13,31415,outside,1972
10,31415,outside,1972
7,31415,outside,1972
3,31415,outside,1972
20,31415,outside,1972
29,31415,outside,1972
13,31415,outside,1972
12,31415,outside,1972
17,31415,outside,1972
9,31415,outside,1972
5,31415,outside,1972
16,31415,outside,1972
82,31415,inside,1983
69,31415,inside,1983
72,31415,inside,1983
62,31415,inside,1983
67,31415,inside,1983
91,31415,inside,1983
99,31415,inside,1983
29,31415,inside,1983
65,31415,inside,1983
74,31415,inside,1983
40,31415,inside,1983
59,31415,inside,1983
45,31415,inside,1983
54,31415,inside,1983
34,31415,inside,1983
31,31415,inside,1983
48,31415,inside,1983
15,31415,inside,1983
40,31415,inside,1983
33,31415,inside,1983
54,31415,outside,1983
60,31415,outside,1983
20,31415,outside,1983
86,31415,outside,1983
50,31415,outside,1983
34,31415,outside,1983
34,31415,outside,1983
43,31415,outside,1983
40,31415,outside,1983
19,31415,outside,1983
75,31415,outside,1983
32,31415,outside,1983
50,31415,outside,1983
92,31415,outside,1983
103,31415,outside,1983
45,31415,outside,1983
65,31415,outside,1983
65,31415,outside,1983
110,31415,inside,1999
81,31415,inside,1999
67,31415,inside,1999
80,31415,inside,1999
52,31415,inside,1999
77,31415,inside,1999
138,31415,inside,1999
90,31415,inside,1999
98,31415,inside,1999
73,31415,inside,1999
118,31415,inside,1999
134,31415,inside,1999
189,31415,inside,1999
49,31415,inside,1999
93,31415,inside,1999
155,31415,inside,1999
76,31415,inside,1999
116,31415,inside,1999
118,31415,inside,1999
26,31415,inside,1999
111,31415,inside,1999
76,31415,inside,1999
39,31415,outside,1999
53,31415,outside,1999
42,31415,outside,1999
60,31415,outside,1999
31,31415,outside,1999
37,31415,outside,1999
45,31415,outside,1999
47,31415,outside,1999
40,31415,outside,1999
90,31415,outside,1999
18,31415,outside,1999
24,31415,outside,1999
29,31415,outside,1999
28,31415,outside,1999
13,31415,outside,1999
23,31415,outside,1999
35,31415,outside,1999
11,31415,outside,1999
61,31415,outside,1999
37,31415,outside,1999
24,31415,outside,1999
19,31415,outside,1999
28,31415,outside,1999
41,31415,outside,1999
46,31415,outside,1999
479,34723.2,inside,2017
35,5727.37,inside,2017
128,15512.4,inside,2017
233,13800.5,inside,2017
121,17566,inside,2017
201,17348.5,inside,2017
200,8632.79,inside,2017
181,15542.8,inside,2017
86,19995.6,inside,2017
109,20994.1,inside,2017
104,18578.5,inside,2017
159,33841.1,outside,2017
24,8861.11,outside,2017
100,16606.3,outside,2017
226,19953.5,outside,2017
8,13548.7,outside,2017
82,13865.1,outside,2017
35,12382.8,outside,2017
56,14233.5,outside,2017
51,22052.6,outside,2017
145,32334.9,outside,2017
41,5236.14,outside,2017
102,20230,outside,2017
291,22502.7,inside,2017
